state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,load
Tennessee,25,2012,9100500.00,156826.92,0.00,53183315.69,26861271.55,0.00,141805.51,1221.70,0.00,0.00,86464.06,0.00,146647729.04
Texas,25,2012,1413257.72,17690416.38,126726435.81,146907460.08,38418416.64,0.00,322560.72,159023.50,0.00,0.00,27411984.14,0.00,383972116.60
Utah,25,2012,720236.78,25971.46,915426.71,35098232.45,0.00,1265833.25,11068.26,298.49,0.00,0.00,2369802.65,0.00,30552710.00
Vermont,25,2012,21540575.56,0.00,0.00,0.00,3999942.14,0.00,530334.60,2243.54,0.00,0.00,15843.01,0.00,7216600.54
Virginia,25,2012,1036922.50,116545.25,2277828.66,34311934.80,27130042.37,0.00,1344371.39,4304.43,0.00,0.00,2705808.88,0.00,126764501.83
Washington,25,2012,78095542.22,39634.10,3023617.62,10412398.80,8940582.14,0.00,1310733.76,48708.63,0.00,0.00,6503232.57,0.00,88906393.10
West Virginia,25,2012,693700.00,49993.80,0.00,107948043.36,0.00,0.00,0.00,206.20,0.00,0.00,4276704.57,0.00,41561165.94
Wisconsin,25,2012,1835927.89,103603.11,1199843.06,49077609.97,12505747.97,0.00,912632.53,3737.10,0.00,0.00,962499.03,0.00,56176855.56
Wyoming,25,2012,867751.28,8871.24,0.00,11531469.14,0.00,0.00,0.00,1097.48,0.00,0.00,14164258.37,0.00,11531469.14
Alabama,25,2014,9299939.56,85109.99,10035014.36,74122991.68,39588360.19,0.00,0.00,244.48,0.00,0.00,0.00,0.00,96245927.72
Arizona,25,2014,8141185.44,84340.67,28783276.39,39737567.52,30631968.00,0.00,48257.69,540984.22,1783773.47,0.00,8496018.85,0.00,88635313.72
Arkansas,25,2014,3122326.67,8190.68,2191675.91,9223920.72,14497814.02,0.00,29463.03,494.45,0.00,0.00,0.00,0.00,42463652.32
California,25,2014,34941689.67,365560.05,31675102.41,2348533.22,34181323.78,27359496.57,5462335.94,3319523.14,4072780.22,903487.89,24567237.26,0.00,279197322.02
Colorado,25,2014,1593103.59,65974.87,2093149.19,36272912.43,0.00,0.00,72184.43,245252.61,0.00,0.00,7864300.70,0.00,47437554.78
Connecticut,25,2014,396320.06,7372.00,6214701.17,3914502.84,16103324.39,0.00,2324830.36,36241.00,0.00,0.00,0.00,0.00,34020611.93
Delaware,25,2014,0.00,31095.41,1217344.00,7189429.19,0.00,0.00,10908.08,32333.20,0.00,0.00,463489.58,0.00,9572850.11
Florida,25,2014,208412.06,2278489.43,51161220.69,71847827.89,30845403.65,0.00,6989984.24,63671.49,266554.48,0.00,0.00,0.00,256742201.55
Georgia,25,2014,4182738.39,256032.66,14850257.36,96009752.23,32094397.44,0.00,18974.16,43845.51,0.00,0.00,26195.08,0.00,132450549.38
Idaho,25,2014,10449604.94,18841.58,40000.15,0.00,0.00,145943.13,85221.82,2172.88,0.00,0.00,1863459.40,0.00,22724266.67
Illinois,25,2014,96976.67,394212.20,2896081.18,108738639.41,90022413.31,0.00,1037873.13,27911.62,0.00,0.00,15586255.64,0.00,147794172.02
Indiana,25,2014,1236181.75,142439.89,2682401.63,130218197.85,0.00,0.00,75896.64,4364.26,0.00,0.00,3491223.27,0.00,116929716.38
Iowa,25,2014,2074243.69,28616.22,287431.59,41293608.41,4589656.93,0.00,50597.76,15726.05,0.00,0.00,20931088.35,0.00,40837016.59
Kansas,25,2014,3845.33,48107.47,0.00,38906057.81,9217257.98,0.00,0.00,22242.46,0.00,0.00,35210200.85,0.00,42263768.07
Kentucky,25,2014,3040248.78,243486.58,0.00,96793687.90,0.00,0.00,75896.64,468.01,0.00,0.00,1579.88,0.00,73650617.59
Louisiana,25,2014,403837.67,42934.79,7611366.50,23260952.78,16790270.98,0.00,89862.25,90650.49,0.00,0.00,0.00,0.00,75985270.63
Maine,25,2014,2613300.94,10502.61,6920670.93,629931.60,0.00,0.00,2084975.71,8961.56,0.00,0.00,1064936.48,0.00,12527243.22
Maryland,25,2014,1834543.72,59177.13,106646.40,29294663.52,13715216.64,0.00,1185983.00,11249.42,0.00,0.00,5675950.31,0.00,55457564.12
Massachusetts,25,2014,812127.33,17366.93,14483245.02,12850382.31,5412569.93,0.00,3324191.15,19037.56,0.00,0.00,747046.40,0.00,60988756.68
Michigan,25,2014,1391208.89,218430.34,11117618.27,87057065.89,31477805.57,0.00,1876377.56,1338.19,0.00,0.00,9239965.05,0.00,156615264.49
Minnesota,25,2014,19281062.60,9854.04,139557.38,34377849.61,12782423.81,0.00,1611939.86,7211.45,0.00,0.00,15921363.21,0.00,72131081.18
Mississippi,25,2014,0.00,172747.79,7136631.03,16091872.03,10007760.38,0.00,289405.00,2576.06,0.00,0.00,0.00,0.00,42125644.29
Missouri,25,2014,1526536.17,165937.78,908687.26,75660026.41,9406978.56,0.00,0.00,13193.25,0.00,0.00,814425.03,0.00,110985381.00
Montana,25,2014,9539659.93,0.00,0.00,13898132.89,0.00,0.00,0.00,11100.07,0.00,0.00,11441854.56,0.00,13922967.65
Nebraska,25,2014,807234.00,41326.47,174986.92,23683945.97,9789107.42,0.00,35902.27,3437.31,0.00,0.00,10661492.29,0.00,24290887.27
Nevada,25,2014,2155924.44,59735.99,20127626.48,19690920.72,0.00,1836947.43,0.00,117575.18,1362778.46,129293.83,7142135.64,0.00,36273829.81
New Hampshire,25,2014,1094256.22,0.00,1050831.36,1193631.55,9644919.78,0.00,915803.94,2167.41,2765.89,0.00,124640.73,0.00,9568981.83
New Jersey,25,2014,29771.06,150362.13,6632275.74,14125247.57,31493615.62,0.00,2017219.76,155619.85,0.00,0.00,1312715.40,0.00,93049981.18
New Mexico,25,2014,203969.06,51570.35,359235.25,29324427.62,0.00,819068.58,47140.85,62209.88,2161879.54,381618.69,17501170.30,0.00,40030382.39
New York,25,2014,26297367.33,547589.08,20489879.77,28451502.25,40712454.60,0.00,4155511.89,145428.17,0.00,0.00,11652215.25,0.00,159736261.97
North Carolina,25,2014,4621919.17,193112.95,941338.70,72610450.24,39035008.51,0.00,1024867.65,36189.80,0.00,0.00,3024845.98,0.00,119806118.40
North Dakota,25,2014,2340271.01,0.00,0.00,23354808.46,0.00,0.00,0.00,543.43,0.00,0.00,15830247.06,0.00,13503224.08
Ohio,25,2014,500949.67,323429.65,2781845.76,157857951.14,16663790.59,0.00,81494.70,2798.01,0.00,0.00,1799146.48,0.00,156431909.11
Oklahoma,25,2014,2608900.50,24363.17,7134817.84,39160253.74,0.00,0.00,0.00,12381.50,0.00,0.00,13519483.54,0.00,69255773.30
Oregon,25,2014,36950715.67,10763.56,4812687.58,4335411.60,0.00,744607.80,400832.10,88945.10,0.00,0.00,8956358.12,0.00,56448184.97
Pennsylvania,25,2014,2265275.39,108399.37,7952770.55,129225255.28,72686695.68,0.00,3135023.47,203292.51,0.00,0.00,5179147.35,0.00,189079138.18
Rhode Island,25,2014,9787.33,0.00,8850835.72,0.00,0.00,0.00,298373.13,12820.66,455046.90,0.00,56542.90,0.00,12545170.69
South Carolina,25,2014,2584177.11,101330.21,2835430.32,40084316.07,51161315.33,0.00,627172.20,2026.58,0.00,0.00,1237659.80,0.00,87528070.22
South Dakota,25,2014,5109845.50,9064.36,0.00,1256681.90,0.00,0.00,0.00,1147.17,0.00,0.00,15437694.39,0.00,12590267.02
Tennessee,25,2014,9100500.00,152582.49,0.00,47178298.25,26861271.55,0.00,141805.51,3267.28,0.00,0.00,111453.26,0.00,149190939.86
Texas,25,2014,1413257.72,17902002.95,119803515.97,146907460.08,38418416.64,0.00,322560.72,214420.75,416631.16,0.00,39707757.38,0.00,391692779.03
Utah,25,2014,720236.78,26435.09,664815.01,35098232.45,0.00,1265833.25,11068.26,1306.71,0.00,0.00,2451060.19,0.00,31091902.72
Vermont,25,2014,20695575.56,0.00,0.00,0.00,3999942.14,0.00,530334.60,8015.87,0.00,0.00,15843.01,0.00,7268683.47
Virginia,25,2014,1036922.50,112741.46,2373359.46,30265002.57,27130042.37,0.00,1344371.39,7458.94,0.00,0.00,4818860.55,0.00,128815077.26
Washington,25,2014,78095542.22,12844.92,1249591.85,10412398.80,8940582.14,0.00,1310733.76,162280.02,0.00,0.00,8362579.71,0.00,90446946.10
West Virginia,25,2014,693700.00,49993.80,0.00,107948043.36,0.00,0.00,0.00,452.88,0.00,0.00,4511967.51,0.00,41973116.69
Wisconsin,25,2014,1835927.89,106709.73,441855.15,41343081.05,12505747.97,0.00,912632.53,13398.48,0.00,0.00,1002602.21,0.00,56700129.67
Wyoming,25,2014,867751.28,8871.24,0.00,11725398.15,0.00,0.00,0.00,4217.58,0.00,0.00,26683796.90,0.00,11730165.44
Alabama,25,2016,9299939.56,62025.68,11593502.52,76552375.48,39588360.19,0.00,0.00,1001.86,0.00,0.00,0.00,0.00,97380304.78
Arizona,25,2016,8141185.44,103332.50,20868976.01,39737567.52,30631968.00,0.00,48257.69,1365981.72,1783773.47,0.00,11833491.61,0.00,90811635.88
Arkansas,25,2016,3122326.67,7868.64,1820265.71,9058219.01,14497814.02,0.00,29463.03,1561.53,0.00,0.00,0.00,0.00,42991161.46
California,25,2016,34941689.67,271507.52,21300281.21,2348533.22,34181323.78,49072259.91,5462335.94,6780551.12,7517294.99,1877636.38,24567237.26,0.00,283169777.39
Colorado,25,2016,1593103.59,65292.64,687902.52,34587494.25,0.00,0.00,72184.43,675354.89,0.00,0.00,8309619.76,0.00,48590767.37
Connecticut,25,2016,396320.06,7372.00,8442292.73,1917447.65,16103324.39,0.00,2324830.36,77474.65,242242.71,0.00,0.00,0.00,34184421.41
Delaware,25,2016,0.00,30855.41,1153459.20,7189429.19,0.00,0.00,10908.08,66327.41,0.00,0.00,463489.58,0.00,9632698.20
Florida,25,2016,208412.06,2997035.39,58766182.54,68913114.41,30845403.65,0.00,6997931.19,193448.37,375160.77,0.00,0.00,0.00,262189872.81
Georgia,25,2016,4182738.39,251997.46,20783326.91,97672480.85,32094397.44,0.00,113583.41,46789.56,0.00,0.00,120123.57,0.00,134053521.73
Idaho,25,2016,10449604.94,18841.58,26316.39,0.00,0.00,145943.13,85221.82,4730.44,0.00,0.00,1863611.45,0.00,23057905.43
Illinois,25,2016,96976.67,392510.50,2697023.57,107547977.34,90022413.31,0.00,1037873.13,40186.09,0.00,0.00,20785229.11,0.00,148486370.20
Indiana,25,2016,1236181.75,185258.81,2268140.99,117706939.47,0.00,0.00,75896.64,10232.30,0.00,0.00,6183445.15,0.00,117289366.39
Iowa,25,2016,2074243.69,19452.19,256173.93,38785027.42,4589656.93,0.00,50597.76,40949.10,0.00,0.00,26839607.23,0.00,41063584.39
Kansas,25,2016,3845.33,45776.24,0.00,37095189.27,9217257.98,0.00,0.00,59009.90,0.00,0.00,42215033.55,0.00,42893451.95
