,ZIP,State,Sun,Houses,Solar Fraction,Solar Houses
171,01536,MA,4.53,1653,0.018237976173,30.0
172,01537,MA,4.55,452,0.018237976173,8.0
173,01540,MA,4.51,3133,0.018237976173,57.0
174,01541,MA,4.53,1100,0.018237976173,20.0
175,01542,MA,4.55,487,0.018237976173,9.0
176,01543,MA,4.52,2487,0.018237976173,45.0
177,01545,MA,4.53,8719,0.018237976173,159.0
178,01550,MA,4.52,2616,0.018237976173,48.0
179,01560,MA,4.54,671,0.018237976173,12.0
180,01562,MA,4.51,3165,0.018237976173,58.0
181,01564,MA,4.53,2477,0.018237976173,45.0
182,01566,MA,4.52,2131,0.018237976173,39.0
183,01568,MA,4.53,2272,0.018237976173,41.0
184,01569,MA,4.54,3185,0.018237976173,58.0
185,01570,MA,4.51,3876,0.018237976173,71.0
186,01571,MA,4.51,3095,0.018237976173,56.0
187,01581,MA,4.53,3730,0.018237976173,68.0
188,01583,MA,4.53,1733,0.018237976173,32.0
189,01585,MA,4.46,1549,0.018237976173,28.0
190,01588,MA,4.52,1966,0.018237976173,36.0
191,01590,MA,4.51,2416,0.018237976173,44.0
192,01602,MA,4.55,5169,0.018237976173,94.0
193,01603,MA,4.55,2731,0.018237976173,50.0
194,01604,MA,4.57,4785,0.018237976173,87.0
195,01605,MA,4.53,2934,0.018237976173,54.0
196,01606,MA,4.53,5116,0.018237976173,93.0
197,01607,MA,4.55,1016,0.018237976173,19.0
198,01608,MA,4.55,7,0.018237976173,0.0
199,01609,MA,4.55,2348,0.018237976173,43.0
200,01610,MA,4.55,586,0.018237976173,11.0
201,01611,MA,4.55,683,0.018237976173,12.0
202,01612,MA,4.52,1495,0.018237976173,27.0
203,01701,MA,4.51,9698,0.018237976173,177.0
204,01702,MA,4.51,4094,0.018237976173,75.0
205,01718,MA,4.53,0,0.018237976173,0.0
206,01719,MA,4.48,1240,0.018237976173,23.0
207,01720,MA,4.52,5151,0.018237976173,94.0
208,01721,MA,4.54,4151,0.018237976173,76.0
209,01730,MA,4.51,3457,0.018237976173,63.0
210,01731,MA,4.51,67,0.018237976173,1.0
211,01740,MA,4.51,1547,0.018237976173,28.0
212,01741,MA,4.53,1739,0.018237976173,32.0
213,01742,MA,4.51,5106,0.018237976173,93.0
214,01745,MA,4.54,138,0.018237976173,3.0
215,01746,MA,4.54,4223,0.018237976173,77.0
216,01747,MA,4.54,1544,0.018237976173,28.0
217,01748,MA,4.53,4405,0.018237976173,80.0
218,01749,MA,4.53,4780,0.018237976173,87.0
219,01752,MA,4.54,8188,0.018237976173,149.0
220,01754,MA,4.52,2645,0.018237976173,48.0
221,01756,MA,4.54,1858,0.018237976173,34.0
222,01757,MA,4.54,5911,0.018237976173,108.0
223,01760,MA,4.51,8690,0.018237976173,158.0
224,01770,MA,4.54,1357,0.018237976173,25.0
225,01772,MA,4.54,2839,0.018237976173,52.0
226,01773,MA,4.51,1378,0.018237976173,25.0
227,01775,MA,4.52,2103,0.018237976173,38.0
228,01776,MA,4.51,5342,0.018237976173,97.0
229,01778,MA,4.51,4452,0.018237976173,81.0
230,01801,MA,4.51,8029,0.018237976173,146.0
231,01803,MA,4.51,6515,0.018237976173,119.0
232,01810,MA,4.5,8932,0.018237976173,163.0
233,01821,MA,4.53,8899,0.018237976173,162.0
234,01824,MA,4.53,7316,0.018237976173,133.0
235,01826,MA,4.53,7665,0.018237976173,140.0
236,01827,MA,4.5,1153,0.018237976173,21.0
237,01830,MA,4.55,4094,0.018237976173,75.0
238,01832,MA,4.55,3517,0.018237976173,64.0
239,01833,MA,4.5,2366,0.018237976173,43.0
240,01834,MA,4.55,1836,0.018237976173,33.0
241,01835,MA,4.55,2564,0.018237976173,47.0
242,01840,MA,4.58,53,0.018237976173,1.0
243,01841,MA,4.57,2285,0.018237976173,42.0
244,01843,MA,4.57,2426,0.018237976173,44.0
245,01844,MA,4.53,11060,0.018237976173,202.0
246,01845,MA,4.5,6323,0.018237976173,115.0
247,01850,MA,4.53,2420,0.018237976173,44.0
248,01851,MA,4.53,3495,0.018237976173,64.0
249,01852,MA,4.53,4576,0.018237976173,83.0
250,01854,MA,4.53,2860,0.018237976173,52.0
251,01860,MA,4.57,1637,0.018237976173,30.0
252,01862,MA,4.53,2523,0.018237976173,46.0
253,01863,MA,4.53,1819,0.018237976173,33.0
254,01864,MA,4.5,4467,0.018237976173,81.0
255,01867,MA,4.5,6932,0.018237976173,126.0
256,01876,MA,4.53,8107,0.018237976173,148.0
257,01879,MA,4.53,3285,0.018237976173,60.0
258,01880,MA,4.5,6630,0.018237976173,121.0
259,01886,MA,4.48,6914,0.018237976173,126.0
260,01887,MA,4.54,6518,0.018237976173,119.0
261,01890,MA,4.55,5492,0.018237976173,100.0
262,01901,MA,4.52,0,0.018237976173,0.0
263,01902,MA,4.52,3840,0.018237976173,70.0
264,01904,MA,4.5,5067,0.018237976173,92.0
265,01905,MA,4.5,3093,0.018237976173,56.0
266,01906,MA,4.5,7381,0.018237976173,135.0
267,01907,MA,4.52,3618,0.018237976173,66.0
268,01908,MA,4.52,1159,0.018237976173,21.0
269,01913,MA,4.57,3629,0.018237976173,66.0
270,01915,MA,4.48,8487,0.018237976173,155.0
271,01921,MA,4.5,2702,0.018237976173,49.0
272,01922,MA,4.56,901,0.018237976173,16.0
273,01923,MA,4.5,6237,0.018237976173,114.0
274,01929,MA,4.48,1057,0.018237976173,19.0
275,01930,MA,4.46,7214,0.018237976173,132.0
276,01938,MA,4.48,3731,0.018237976173,68.0
277,01940,MA,4.5,3831,0.018237976173,70.0
278,01944,MA,4.48,1600,0.018237976173,29.0
279,01945,MA,4.49,6097,0.018237976173,111.0
280,01949,MA,4.5,1798,0.018237976173,33.0
281,01950,MA,4.56,4041,0.018237976173,74.0
282,01951,MA,4.56,1613,0.018237976173,29.0
283,01952,MA,4.57,2461,0.018237976173,45.0
284,01960,MA,4.5,10985,0.018237976173,200.0
285,01966,MA,4.46,2603,0.018237976173,47.0
286,01969,MA,4.52,1742,0.018237976173,32.0
287,01970,MA,4.49,4843,0.018237976173,88.0
288,01982,MA,4.48,2455,0.018237976173,45.0
289,01983,MA,4.5,1907,0.018237976173,35.0
290,01984,MA,4.49,1181,0.018237976173,22.0
291,01985,MA,4.55,1344,0.018237976173,25.0
292,02019,MA,4.54,4794,0.018237976173,87.0
293,02021,MA,4.56,5584,0.018237976173,102.0
294,02025,MA,4.4,2673,0.018237976173,49.0
295,02026,MA,4.56,6478,0.018237976173,118.0
296,02030,MA,4.54,1851,0.018237976173,34.0
297,02032,MA,4.56,1089,0.018237976173,20.0
298,02035,MA,4.55,4231,0.018237976173,77.0
299,02038,MA,4.55,7632,0.018237976173,139.0
300,02043,MA,4.4,6192,0.018237976173,113.0
301,02045,MA,4.4,3791,0.018237976173,69.0
302,02047,MA,4.49,136,0.018237976173,2.0
303,02048,MA,4.55,5254,0.018237976173,96.0
304,02050,MA,4.49,9337,0.018237976173,170.0
305,02052,MA,4.54,3736,0.018237976173,68.0
306,02053,MA,4.55,3623,0.018237976173,66.0
307,02054,MA,4.55,2001,0.018237976173,36.0
308,02056,MA,4.55,2916,0.018237976173,53.0
309,02061,MA,4.51,3271,0.018237976173,60.0
310,02062,MA,4.56,5552,0.018237976173,101.0
311,02066,MA,4.4,6027,0.018237976173,110.0
312,02067,MA,4.55,5345,0.018237976173,97.0
313,02071,MA,4.55,285,0.018237976173,5.0
314,02072,MA,4.57,7021,0.018237976173,128.0
315,02081,MA,4.55,5135,0.018237976173,94.0
316,02090,MA,4.56,4475,0.018237976173,82.0
317,02093,MA,4.55,3525,0.018237976173,64.0
318,02108,MA,4.57,0,0.018237976173,0.0
319,02109,MA,4.57,33,0.018237976173,1.0
320,02110,MA,4.57,0,0.018237976173,0.0
321,02111,MA,4.57,17,0.018237976173,0.0
322,02113,MA,4.57,35,0.018237976173,1.0
323,02114,MA,4.57,57,0.018237976173,1.0
324,02115,MA,4.49,40,0.018237976173,1.0
325,02116,MA,4.57,217,0.018237976173,4.0
326,02118,MA,4.57,136,0.018237976173,2.0
327,02119,MA,4.49,638,0.018237976173,12.0
328,02120,MA,4.49,78,0.018237976173,1.0
329,02121,MA,4.57,605,0.018237976173,11.0
330,02122,MA,4.57,1446,0.018237976173,26.0
331,02124,MA,4.57,3036,0.018237976173,55.0
332,02125,MA,4.57,1236,0.018237976173,23.0
333,02126,MA,4.56,2722,0.018237976173,50.0
334,02127,MA,4.57,552,0.018237976173,10.0
335,02128,MA,4.57,1274,0.018237976173,23.0
336,02129,MA,4.57,302,0.018237976173,6.0
337,02130,MA,4.49,2715,0.018237976173,50.0
338,02131,MA,4.49,3734,0.018237976173,68.0
339,02132,MA,4.49,6870,0.018237976173,125.0
340,02134,MA,4.49,528,0.018237976173,10.0
341,02135,MA,4.49,1637,0.018237976173,30.0
342,02136,MA,4.56,4492,0.018237976173,82.0
343,02138,MA,4.49,2039,0.018237976173,37.0
344,02139,MA,4.49,863,0.018237976173,16.0
345,02140,MA,4.49,932,0.018237976173,17.0
346,02141,MA,4.57,276,0.018237976173,5.0
347,02142,MA,4.57,26,0.018237976173,0.0
348,02143,MA,4.49,1164,0.018237976173,21.0
349,02144,MA,4.49,992,0.018237976173,18.0
350,02145,MA,4.49,1481,0.018237976173,27.0
351,02148,MA,4.55,6379,0.018237976173,116.0
352,02149,MA,4.55,3388,0.018237976173,62.0
353,02150,MA,4.55,1107,0.018237976173,20.0
354,02151,MA,4.52,6103,0.018237976173,111.0
355,02152,MA,4.61,2712,0.018237976173,49.0
356,02155,MA,4.49,8278,0.018237976173,151.0
357,02163,MA,4.49,0,0.018237976173,0.0
358,02169,MA,4.49,8013,0.018237976173,146.0
359,02170,MA,4.49,3410,0.018237976173,62.0
360,02171,MA,4.57,2748,0.018237976173,50.0
361,02176,MA,4.55,6418,0.018237976173,117.0
362,02180,MA,4.5,5332,0.018237976173,97.0
363,02184,MA,4.48,8594,0.018237976173,157.0
364,02186,MA,4.56,6805,0.018237976173,124.0
365,02188,MA,4.48,3416,0.018237976173,62.0
366,02189,MA,4.48,3283,0.018237976173,60.0
367,02190,MA,4.48,4093,0.018237976173,75.0
368,02191,MA,4.49,2761,0.018237976173,50.0
369,02199,MA,4.57,0,0.018237976173,0.0
370,02203,MA,4.57,0,0.018237976173,0.0
371,02210,MA,4.57,15,0.018237976173,0.0
372,02215,MA,4.49,113,0.018237976173,2.0
373,02301,MA,4.56,8900,0.018237976173,162.0
374,02302,MA,4.48,8524,0.018237976173,155.0
375,02322,MA,4.57,1357,0.018237976173,25.0
376,02324,MA,4.55,5308,0.018237976173,97.0
377,02330,MA,4.53,3347,0.018237976173,61.0
378,02332,MA,4.51,5115,0.018237976173,93.0
379,02333,MA,4.55,4028,0.018237976173,73.0
380,02338,MA,4.55,2198,0.018237976173,40.0
381,02339,MA,4.51,4175,0.018237976173,76.0
382,02341,MA,4.55,3120,0.018237976173,57.0
383,02343,MA,4.48,3264,0.018237976173,60.0
384,02346,MA,4.55,6198,0.018237976173,113.0
385,02347,MA,4.57,3691,0.018237976173,67.0
386,02351,MA,4.48,3573,0.018237976173,65.0
387,02356,MA,4.57,3260,0.018237976173,59.0
388,02359,MA,4.51,5259,0.018237976173,96.0
389,02360,MA,4.47,18447,0.018237976173,336.0
390,02364,MA,4.51,3929,0.018237976173,72.0
391,02367,MA,4.55,931,0.018237976173,17.0
392,02368,MA,4.57,7604,0.018237976173,139.0
393,02370,MA,4.48,4005,0.018237976173,73.0
394,02375,MA,4.55,2189,0.018237976173,40.0
395,02379,MA,4.55,2119,0.018237976173,39.0
396,02382,MA,4.56,3586,0.018237976173,65.0
397,02420,MA,4.51,4358,0.018237976173,79.0
398,02421,MA,4.51,5014,0.018237976173,91.0
399,02445,MA,4.49,2150,0.018237976173,39.0
